CustomerNBR,JoinDate,ContractType,PaymentMethod,Status,TariffType,MonthlyUsage_kWh,Email,PhoneNumber,Postcode,DOB
CUST100196,2022-12-15,Fixed,Credit Card,Inactive,Standard,644.47,kwright@yahoo.com,819-588-3734,28766,1950-03-11
CUST100197,2024-09-18,Variable,Credit Card,Pending,Economy,135.59,kathrynjimenez@hotmail.com,3127722005,89821,1959-01-27
CUST100198,2022-05-29,Variable,PayPal,Active,Economy,165.51,fkoch@gmail.com,364-597-0108x2207,86250,1978-07-03
CUST100199,2025-03-04,Fixed,Direct Debit,Inactive,Peak/Off-Peak,824.19,pwagner@aguilar.com,113.799.5635x31531,18964,1993-01-09
CUST100200,2021-09-17,Fixed,Credit Card,Pending,Green,628.83,pharper@hotmail.com,636.317.9706,94683,1959-11-21
CUST100201,2025-06-11,Fixed,PayPal,Active,Economy,704.31,amanda16@gmail.com,(397)265-2735,21609,1983-04-11
CUST100202,2025-06-27,Rolling,Bank Transfer,Inactive,Peak/Off-Peak,295.31,kathryn50@yahoo.com,352-090-4217x762,66249,1967-12-22
CUST100203,2024-08-09,Fixed,Bank Transfer,Cancelled,Green,288.0,michaelroberts@gordon-duran.com,001-534-929-2983x16873,68173,1944-06-21
CUST100204,2022-08-26,Fixed,Credit Card,Active,Standard,916.33,theresalong@grant-diaz.com,001-774-063-3569,96015,1963-11-15
CUST100205,2024-08-10,Rolling,Direct Debit,Active,Green,372.87,cporter@taylor.info,929.060.0780,80289,1985-03-03
CUST100206,2024-01-18,Variable,Credit Card,Cancelled,Standard,918.09,catherinerobertson@yahoo.com,(867)177-3180x63254,85880,1985-03-18
CUST100207,2022-03-16,Fixed,Bank Transfer,Cancelled,Peak/Off-Peak,290.63,phillipjensen@yahoo.com,107.427.9907,69089,1954-04-29
CUST100208,2021-05-22,Rolling,Direct Debit,Pending,Green,271.02,terickson@yahoo.com,262.570.1658x046,45250,1977-05-20
CUST100209,2021-05-30,Fixed,Direct Debit,Active,Peak/Off-Peak,767.33,mark16@parker.com,001-498-931-9508x50165,59153,1951-03-26
CUST100210,2024-04-02,Fixed,Bank Transfer,Cancelled,Standard,772.19,tammy99@gmail.com,905.528.1832x538,17697,1935-11-24
CUST100211,2023-08-07,Rolling,PayPal,Inactive,Economy,778.9,ojackson@harvey.com,793-355-4864,44937,1977-12-12
CUST100212,2024-03-10,Variable,PayPal,Active,Economy,923.0,leescott@hernandez-vaughn.biz,1557788178,38622,1936-01-26
CUST100213,2024-01-31,Rolling,Credit Card,Pending,Standard,726.06,thorntonapril@hotmail.com,+1-847-951-3711x62411,47728,1979-05-07
CUST100214,2024-07-22,Fixed,Direct Debit,Cancelled,Economy,733.39,ufox@gmail.com,(412)723-8046,82220,1963-09-06
CUST100215,2021-01-17,Variable,Credit Card,Active,Economy,456.97,amy49@yahoo.com,+1-827-567-0431x03856,56980,1997-12-03
CUST100216,2021-06-03,Rolling,Direct Debit,Active,Green,315.4,joshuaevans@wise-bush.info,001-557-988-7749,05745,1978-05-08
CUST100217,2021-02-06,Rolling,Bank Transfer,Cancelled,Green,389.45,ybailey@hotmail.com,(424)375-4025,93924,1966-04-02
CUST100218,2024-01-04,Variable,Direct Debit,Cancelled,Economy,354.75,david86@yahoo.com,729-284-2222x3105,90006,1943-08-08
CUST100219,2023-06-22,Fixed,Direct Debit,Cancelled,Green,519.63,kellyroberts@hotmail.com,001-274-523-8055,51308,1987-01-24
CUST100220,2021-07-07,Rolling,Bank Transfer,Active,Standard,683.85,sandra47@harris.com,(578)284-1067,31841,1973-03-09
CUST100221,2022-09-13,Rolling,PayPal,Cancelled,Green,377.58,danielyang@gmail.com,001-275-208-8547x49297,27871,1963-06-19
CUST100222,2022-03-20,Rolling,Bank Transfer,Cancelled,Green,423.68,santiagoamanda@hall.info,170-281-4069x37515,80505,2006-05-07
CUST100223,2022-03-15,Fixed,Direct Debit,Active,Green,894.53,adampierce@russell.info,9398343018,80045,1964-03-08
CUST100224,2025-02-23,Rolling,Bank Transfer,Active,Peak/Off-Peak,519.4,manuel01@andrews.com,186.375.9980x562,10331,1948-08-05
CUST100225,2024-05-26,Variable,Direct Debit,Pending,Standard,822.53,lkhan@osborn.info,001-656-504-5547x813,20476,1972-06-05
CUST100226,2021-10-11,Variable,PayPal,Inactive,Economy,750.17,nancy04@morrison.info,001-767-426-6299x1234,74805,1944-10-08
CUST100227,2024-03-04,Rolling,PayPal,Active,Economy,785.47,melissamcdonald@gmail.com,851.961.0646x2879,82786,1991-12-27
CUST100228,2022-02-23,Rolling,Direct Debit,Inactive,Peak/Off-Peak,388.21,francisco74@lopez.org,001-232-648-7049x47873,65712,1993-10-26
CUST100229,2022-12-15,Variable,PayPal,Pending,Green,282.81,cherylfowler@wilcox-robertson.com,0244714627,13268,1977-11-02
CUST100230,2024-07-09,Variable,Bank Transfer,Pending,Standard,381.63,lopezdonald@yahoo.com,001-301-471-9597x964,02459,1978-02-26
CUST100231,2022-09-17,Rolling,PayPal,Cancelled,Standard,141.14,greenjoe@finley-turner.org,+1-715-890-4290x2572,19194,1961-07-22
CUST100232,2021-03-24,Variable,Credit Card,Pending,Economy,877.68,desiree30@wilson.net,(204)565-0448x183,41073,1961-06-01
CUST100233,2024-05-09,Fixed,PayPal,Cancelled,Peak/Off-Peak,767.13,fowlershelia@yahoo.com,001-219-285-5445x18952,72215,1941-05-06
CUST100234,2025-04-07,Fixed,Credit Card,Cancelled,Peak/Off-Peak,114.6,susanmendoza@adkins-obrien.biz,2845765213,11926,2001-10-23
CUST100235,2021-06-02,Fixed,Bank Transfer,Active,Peak/Off-Peak,597.98,kathleenbecker@hotmail.com,(833)898-8816,65894,2002-06-15
CUST100236,2021-01-06,Fixed,PayPal,Active,Peak/Off-Peak,625.63,xrice@stark.com,112.075.4527x985,12836,1940-12-15
CUST100237,2025-03-08,Variable,PayPal,Inactive,Standard,748.01,franklinbond@wilson-harris.org,(401)322-3423,60113,1971-12-08
CUST100238,2020-09-16,Fixed,PayPal,Cancelled,Green,365.67,nolansean@gmail.com,(161)107-6031,41620,1991-12-01
CUST100239,2021-05-18,Rolling,Bank Transfer,Cancelled,Economy,276.57,williambryant@gmail.com,8907140140,22746,1950-10-26
CUST100240,2022-08-06,Rolling,Bank Transfer,Inactive,Standard,307.02,jennifer64@gmail.com,001-119-393-2501x24955,39246,1951-06-23
CUST100241,2021-12-31,Fixed,Credit Card,Cancelled,Peak/Off-Peak,612.81,williamsmelvin@weaver.com,(893)891-1908,21665,1996-03-18
CUST100242,2024-01-16,Rolling,Direct Debit,Pending,Peak/Off-Peak,321.16,mitchellhector@gmail.com,342.801.3875,09435,1957-11-17
CUST100243,2024-09-18,Fixed,Bank Transfer,Cancelled,Economy,595.58,victoria67@yahoo.com,001-927-125-6638x361,37216,1979-01-28
CUST100244,2024-09-05,Fixed,PayPal,Cancelled,Green,949.12,vegadorothy@hotmail.com,001-517-182-7548x01571,76065,1986-09-10
CUST100245,2022-05-28,Fixed,Credit Card,Cancelled,Green,403.81,david86@anderson.com,(479)473-8646x3175,48123,1966-10-06
CUST100246,2023-12-30,Rolling,PayPal,Active,Green,787.02,inunez@yahoo.com,(071)678-1126,46817,1937-06-25
CUST100247,2021-01-31,Rolling,PayPal,Pending,Peak/Off-Peak,539.76,johnreed@yahoo.com,(912)153-5396x1367,12196,1973-05-19
CUST100248,2021-12-26,Fixed,Bank Transfer,Cancelled,Standard,751.2,johnsondonna@miranda.com,994-657-9678x427,09824,1937-01-05
CUST100249,2023-10-23,Fixed,Direct Debit,Pending,Standard,765.63,wheelersean@warner.biz,147-732-0101,23987,1935-03-22
CUST100250,2020-08-08,Fixed,PayPal,Pending,Green,514.75,amberwebster@gmail.com,026.952.4991x1877,93647,1997-06-07
CUST100251,2023-11-27,Fixed,Bank Transfer,Pending,Economy,759.5,jim95@harper.com,477.848.5880,60891,1973-04-15
CUST100252,2022-11-03,Variable,Credit Card,Inactive,Green,416.96,roberthill@fry.biz,001-061-675-6770x02842,34310,1952-06-03
CUST100253,2024-06-15,Fixed,PayPal,Cancelled,Green,225.96,comptonshelly@hotmail.com,624.671.9788x9778,62532,1989-05-29
CUST100254,2023-01-05,Rolling,Credit Card,Active,Economy,591.89,heather62@yahoo.com,(806)479-6954,34058,1939-08-16
CUST100255,2024-03-08,Fixed,Bank Transfer,Active,Green,265.64,karenwells@gmail.com,009-025-5905x61655,58440,2007-03-11
CUST100256,2025-04-24,Variable,Bank Transfer,Active,Economy,900.43,lindamelendez@hotmail.com,(503)334-9114x15208,85736,2006-05-19
CUST100257,2024-09-22,Rolling,Bank Transfer,Active,Economy,991.29,igrant@yahoo.com,076-986-4079x05696,18909,1939-11-29
CUST100258,2021-11-25,Variable,Bank Transfer,Cancelled,Standard,961.51,james17@davis-hardy.com,917-135-7852x94563,16749,1980-07-03
CUST100259,2022-03-14,Fixed,Bank Transfer,Active,Economy,571.55,nicholas99@russo.org,183.440.4963x9191,75046,1936-10-19
CUST100260,2023-02-09,Rolling,Direct Debit,Pending,Green,855.16,vclark@krueger-smith.com,001-541-987-6351,64498,1944-01-15
CUST100261,2022-06-09,Fixed,Credit Card,Inactive,Economy,166.9,srocha@padilla.com,+1-484-685-3664x9878,05690,1998-07-16
CUST100262,2021-01-30,Rolling,Direct Debit,Active,Green,836.2,powens@yahoo.com,(082)973-7489,48142,1947-07-14
CUST100263,2025-07-06,Rolling,Credit Card,Pending,Economy,143.66,michael77@gmail.com,001-690-835-7232x46651,38069,1991-01-29
CUST100264,2025-03-13,Rolling,PayPal,Active,Standard,105.75,robin55@yahoo.com,+1-364-424-9363x1230,53052,1975-07-21
CUST100265,2021-02-07,Variable,PayPal,Cancelled,Green,223.74,joycesmith@donovan.com,477.866.0324,54113,1971-12-21
CUST100266,2023-04-03,Fixed,Credit Card,Pending,Green,667.63,jerry93@pierce-harding.com,(044)820-7001,81724,1977-10-03
CUST100267,2021-01-26,Variable,PayPal,Cancelled,Green,161.17,plevy@hotmail.com,941-651-6231x98189,89706,1981-08-27
CUST100268,2021-01-04,Variable,PayPal,Active,Economy,235.93,yjackson@yahoo.com,001-847-139-1559x63632,17407,1989-01-27
CUST100269,2025-07-21,Fixed,PayPal,Pending,Standard,296.85,jenniferfreeman@mooney.com,234-764-9078,58281,1945-06-11
CUST100270,2024-08-22,Fixed,Direct Debit,Pending,Standard,510.41,gutierrezmegan@jones.com,(158)673-4257x540,48569,1977-03-17
CUST100271,2024-11-11,Fixed,Direct Debit,Pending,Standard,154.41,nbrooks@estrada.info,+1-900-348-6451x8376,67672,2001-10-17
CUST100272,2025-02-07,Rolling,Bank Transfer,Active,Standard,673.96,patelrobert@moreno.net,6441343275,82372,1940-12-29
CUST100273,2021-12-04,Variable,Credit Card,Inactive,Economy,940.51,shawheidi@yahoo.com,001-604-177-6561x24815,41611,1988-02-13
CUST100274,2021-01-25,Variable,PayPal,Inactive,Green,921.48,hullalice@lee.com,(985)700-2720x63459,49480,1975-03-16
CUST100275,2024-11-26,Variable,Credit Card,Cancelled,Peak/Off-Peak,693.36,laura15@yahoo.com,123-829-6577,11444,1996-06-15
CUST100276,2021-04-07,Variable,Bank Transfer,Inactive,Standard,114.16,veronicaperez@hotmail.com,001-242-954-3165x2669,89918,2001-09-23
CUST100277,2022-03-02,Variable,Bank Transfer,Active,Peak/Off-Peak,578.99,davisnicholas@alvarez.com,008.931.7342,54659,1951-02-10
CUST100278,2021-03-02,Rolling,PayPal,Pending,Economy,470.2,vnewman@hotmail.com,6969421529,66815,1985-06-22
CUST100279,2021-03-01,Fixed,Bank Transfer,Pending,Economy,115.05,hallrachel@clay.com,086-771-3334,59495,1948-07-27
CUST100280,2022-08-02,Rolling,PayPal,Active,Peak/Off-Peak,749.97,whitemelissa@gmail.com,762-639-3436x2620,34950,1938-07-28
CUST100281,2024-01-08,Rolling,Bank Transfer,Pending,Green,582.16,karenmarquez@hickman-evans.org,439-735-9710x7256,89964,1965-01-27
CUST100282,2021-08-09,Rolling,Bank Transfer,Inactive,Peak/Off-Peak,358.02,irhodes@reyes-singh.com,+1-366-941-1800x53759,06094,1941-02-04
CUST100283,2025-06-06,Fixed,PayPal,Cancelled,Economy,551.99,davisjesse@gmail.com,+1-900-489-6465x28092,81846,1936-01-01
CUST100284,2022-09-05,Fixed,Bank Transfer,Active,Peak/Off-Peak,728.07,unovak@gmail.com,287-572-1586x241,84893,1953-06-20
CUST100285,2025-07-05,Variable,Bank Transfer,Pending,Standard,487.52,whenry@hotmail.com,027-456-4494x85625,07979,1948-11-23
CUST100286,2020-12-03,Rolling,Bank Transfer,Active,Standard,945.74,llopez@hotmail.com,001-728-703-2032x0742,97630,1978-07-12
CUST100287,2021-04-13,Variable,Credit Card,Inactive,Green,261.34,bartonkenneth@gmail.com,001-761-707-5877x712,32589,1993-11-18
CUST100288,2024-02-25,Fixed,Direct Debit,Pending,Peak/Off-Peak,926.24,adamsnorman@moore.com,513-422-8499,92218,1965-05-23
CUST100289,2025-07-20,Fixed,Credit Card,Pending,Peak/Off-Peak,571.95,sean41@miller.info,908.926.1371,74006,1957-10-01
CUST100290,2025-05-24,Fixed,Bank Transfer,Pending,Peak/Off-Peak,316.87,johnsonmichael@gmail.com,041-659-1520x17774,01542,1946-07-26
CUST100291,2025-01-12,Fixed,Direct Debit,Pending,Peak/Off-Peak,657.8,asmith@yahoo.com,+1-050-975-9230x450,20759,1960-08-08
CUST100292,2023-04-11,Rolling,Credit Card,Active,Green,327.18,ashleyjackson@jackson-adams.com,001-189-616-4236x1032,14302,1984-10-16
CUST100293,2022-10-21,Variable,Credit Card,Inactive,Economy,419.0,bryanhamilton@yahoo.com,(642)147-6492x5158,38598,1935-04-05
CUST100294,2022-04-28,Fixed,Credit Card,Inactive,Green,815.44,xpatton@yahoo.com,776.749.9616,49760,1941-09-24
CUST100295,2023-04-05,Variable,PayPal,Cancelled,Economy,171.12,mwheeler@rodriguez-torres.biz,(926)610-8573x278,21237,1969-12-06
CUST100296,2022-08-13,Fixed,Bank Transfer,Active,Economy,963.37,vbrock@yahoo.com,+1-814-761-7422x4386,75229,1940-06-13
CUST100297,2022-11-05,Variable,Bank Transfer,Inactive,Economy,513.1,pochoa@hotmail.com,908-108-1866x1794,52835,1949-09-01
CUST100298,2023-12-14,Variable,Direct Debit,Active,Peak/Off-Peak,318.89,malik37@thompson-sanders.com,(491)801-7226x016,10066,1941-02-13
CUST100299,2021-09-12,Fixed,Credit Card,Active,Green,727.51,yfaulkner@gmail.com,001-459-779-4523x219,29736,1976-01-01
CUST100300,2023-02-20,Fixed,Bank Transfer,Inactive,Economy,369.98,yramirez@yahoo.com,168-006-1027x769,51386,1944-10-19
CUST100301,2024-06-22,Variable,Credit Card,Cancelled,Standard,845.26,frederickjames@hotmail.com,001-749-956-4122x0310,61092,1970-06-24
CUST100302,2023-04-11,Rolling,Bank Transfer,Cancelled,Economy,172.56,bentonsteven@clark.com,001-303-723-6831x472,88207,1979-05-30
CUST100303,2021-03-15,Fixed,Credit Card,Cancelled,Green,992.51,ttaylor@gmail.com,601.227.7707x9334,12756,1986-03-30
CUST100304,2020-08-30,Fixed,Bank Transfer,Pending,Peak/Off-Peak,684.91,jennifermccormick@gmail.com,001-605-016-6799,46236,1971-04-28
CUST100305,2024-06-25,Rolling,Direct Debit,Inactive,Standard,128.52,iaguilar@hotmail.com,001-840-767-8997x3080,61564,1957-10-08
CUST100306,2025-05-17,Rolling,Credit Card,Pending,Economy,464.75,gibbsmichael@hotmail.com,(958)146-7179x57602,61906,1953-05-03
CUST100307,2021-06-08,Fixed,Bank Transfer,Pending,Peak/Off-Peak,439.45,mackdiane@jackson-salazar.org,375-738-3959x7246,84712,1997-04-15
CUST100308,2021-03-17,Fixed,Direct Debit,Pending,Green,528.4,tammy61@gmail.com,(572)934-1722x32971,70639,1950-11-27
CUST100309,2025-02-27,Fixed,Direct Debit,Active,Green,673.07,jeffrey88@watts.info,(743)380-0545x22801,61430,1951-10-10
CUST100310,2022-05-26,Fixed,Bank Transfer,Active,Standard,732.56,whitney71@perry-nixon.com,619-318-3745x50842,14803,1978-01-18
CUST100311,2024-11-20,Variable,Credit Card,Inactive,Standard,174.42,larry73@webb.info,001-891-077-1199x180,11749,1954-09-24
CUST100312,2022-11-03,Variable,PayPal,Inactive,Economy,860.8,evanslisa@gmail.com,121.352.4787x12552,24129,1990-11-01
CUST100313,2021-09-17,Variable,Direct Debit,Active,Peak/Off-Peak,680.42,deborah23@thompson.info,376-037-5482,96416,1995-05-24
CUST100314,2023-07-22,Fixed,Direct Debit,Active,Peak/Off-Peak,398.14,lsoto@sandoval.com,456-532-8632,14702,1951-03-30
CUST100315,2021-03-03,Variable,Bank Transfer,Pending,Green,979.6,tprice@gmail.com,(667)850-7208x11556,52529,2005-08-07
CUST100316,2022-08-30,Fixed,PayPal,Cancelled,Green,976.46,karen19@lloyd.com,001-260-602-9084x66845,57270,2006-05-23
CUST100317,2023-09-24,Fixed,PayPal,Cancelled,Economy,905.31,james14@hotmail.com,(048)926-7389x975,26646,1967-04-28
CUST100318,2023-01-04,Variable,PayPal,Cancelled,Economy,927.24,candice96@hotmail.com,+1-634-108-5628x8431,53129,1999-08-19
CUST100319,2021-12-05,Fixed,Bank Transfer,Cancelled,Green,306.79,michael79@cervantes.com,848.520.0894x34681,43587,2001-04-16
CUST100320,2024-04-24,Variable,Credit Card,Cancelled,Green,911.15,lawrenceallen@white.com,001-054-851-0174x9075,08951,1972-10-07
CUST100321,2025-03-16,Variable,Direct Debit,Pending,Peak/Off-Peak,723.06,kcarlson@yahoo.com,998.935.4492,42088,1978-05-26
CUST100322,2023-02-27,Variable,Bank Transfer,Inactive,Peak/Off-Peak,610.11,tommymedina@hotmail.com,001-683-158-9357x126,45383,2000-04-13
CUST100323,2025-01-31,Variable,PayPal,Active,Peak/Off-Peak,343.99,tracytaylor@wilkinson-harvey.com,(110)627-3715x86988,79716,1965-04-28
CUST100324,2020-08-26,Variable,Direct Debit,Pending,Economy,931.74,ytaylor@wagner.biz,001-649-767-7622x82772,64240,1947-01-30
CUST100325,2025-04-21,Rolling,Direct Debit,Cancelled,Peak/Off-Peak,715.99,kjackson@gmail.com,001-881-377-0285x196,28371,1970-06-29
CUST100326,2023-02-18,Rolling,PayPal,Active,Standard,352.34,antonio38@jackson-ellis.info,159-408-2154,92551,1974-11-26
CUST100327,2021-06-19,Rolling,PayPal,Pending,Standard,588.73,adamsamy@weaver-sherman.info,(447)022-9604x432,97662,1945-11-08
CUST100328,2021-09-23,Rolling,Direct Debit,Cancelled,Peak/Off-Peak,692.3,pgarcia@evans.info,001-701-851-0679x4975,62920,1982-08-19
CUST100329,2022-11-01,Rolling,Direct Debit,Pending,Peak/Off-Peak,261.42,michelle17@gmail.com,(792)287-7725x1996,15485,1967-07-29
CUST100330,2021-07-26,Variable,Credit Card,Active,Green,865.38,lisamatthews@callahan-bishop.biz,(365)807-4120x9481,36988,1962-08-10
CUST100331,2021-06-30,Fixed,Credit Card,Inactive,Green,114.09,kristenli@hudson.com,+1-813-989-0983x7801,60083,1945-03-16
CUST100332,2025-04-16,Fixed,Bank Transfer,Cancelled,Economy,286.44,tiffany44@adams.com,+1-820-433-9718x95690,05518,1944-10-24
CUST100333,2021-11-27,Variable,Direct Debit,Active,Standard,229.77,rsellers@martinez.com,056.260.8564x1118,71945,2001-11-25
CUST100334,2022-11-26,Fixed,Credit Card,Active,Standard,838.62,kburns@adams.com,(422)412-4620,20914,1942-10-15
CUST100335,2022-12-25,Fixed,Direct Debit,Inactive,Economy,838.81,heather57@yahoo.com,+1-520-046-1526x546,62100,1963-07-04
CUST100336,2022-05-18,Rolling,PayPal,Pending,Peak/Off-Peak,935.99,meltonmelanie@gmail.com,033-993-7886,19573,1936-05-16
CUST100337,2023-07-03,Rolling,Credit Card,Inactive,Peak/Off-Peak,369.35,melissa86@gmail.com,405-786-1706,84415,1964-01-02
CUST100338,2022-04-26,Rolling,PayPal,Inactive,Economy,607.56,troymorris@yahoo.com,+1-304-891-3824x9671,28480,1998-04-20
CUST100339,2022-10-31,Fixed,PayPal,Pending,Standard,610.03,ashleewashington@yahoo.com,+1-832-582-3868x7007,42468,1986-12-29
CUST100340,2024-11-19,Rolling,PayPal,Pending,Standard,864.5,garciakristen@smith-noble.com,+1-420-074-9465x398,74976,1960-02-29
CUST100341,2024-09-27,Variable,Bank Transfer,Pending,Peak/Off-Peak,709.33,bsmith@gmail.com,028-914-1612x8463,04606,2000-12-14
CUST100342,2022-09-21,Fixed,PayPal,Active,Green,586.51,erik41@ward.com,+1-855-474-3553x795,79285,1948-10-24
CUST100343,2021-01-06,Fixed,Bank Transfer,Active,Economy,445.46,ugarrett@fischer.com,2097002687,50345,1980-12-02
CUST100344,2021-05-15,Rolling,Direct Debit,Cancelled,Economy,765.77,thomasanderson@stone.com,001-681-180-7156x95620,08679,1962-12-26
CUST100345,2024-03-10,Variable,Direct Debit,Cancelled,Peak/Off-Peak,811.45,lisa62@jones-reyes.com,753-703-0453,47882,2006-05-26
CUST100346,2022-12-09,Rolling,Credit Card,Inactive,Economy,720.38,michael42@ayala-mullins.com,943-375-0479,56876,2004-07-13
CUST100347,2020-12-16,Rolling,Credit Card,Inactive,Standard,170.58,morenoalan@martin.com,036.149.8728,62551,1977-03-27
CUST100348,2020-08-13,Fixed,Bank Transfer,Cancelled,Peak/Off-Peak,770.91,fheath@gmail.com,999.219.2124,28474,1977-01-09
CUST100349,2023-06-04,Fixed,Direct Debit,Inactive,Standard,411.27,lawrencepatrick@edwards-taylor.com,001-384-308-9487,07589,1996-05-18
CUST100350,2021-09-12,Rolling,Credit Card,Pending,Green,187.92,angelagreene@mitchell.com,6056641877,28221,1955-07-19
CUST100351,2022-10-24,Fixed,Credit Card,Active,Economy,308.93,juliephillips@bowers.info,(803)046-8750x635,03508,2003-04-02
CUST100352,2021-12-17,Fixed,Credit Card,Cancelled,Economy,168.42,allendanielle@gmail.com,903-613-3254,99934,1948-12-19
CUST100353,2024-05-05,Fixed,Direct Debit,Active,Standard,644.65,sarah26@fisher.info,107-609-5431,90111,1952-04-15
CUST100354,2025-04-12,Rolling,Credit Card,Cancelled,Peak/Off-Peak,652.48,matthewsalexander@williams.biz,350.583.1997x1791,55934,1964-05-12
CUST100355,2024-03-22,Fixed,Direct Debit,Active,Peak/Off-Peak,636.05,zhenderson@gmail.com,006-512-0704,35870,1984-01-29
CUST100356,2025-05-10,Rolling,PayPal,Cancelled,Economy,972.03,christopher18@mccann.net,+1-611-080-4661x963,33540,1987-01-24
CUST100357,2020-09-01,Fixed,PayPal,Active,Standard,393.74,wwillis@hotmail.com,+1-907-676-9915x078,83821,1996-02-29
CUST100358,2021-07-15,Variable,PayPal,Pending,Green,670.71,holly30@miller.com,931-109-1939x28456,23583,2004-06-20
CUST100359,2021-03-23,Fixed,Bank Transfer,Cancelled,Standard,805.19,parkerjudith@hotmail.com,972.320.0249x6854,11457,1962-03-21
CUST100360,2021-11-08,Rolling,Direct Debit,Cancelled,Peak/Off-Peak,505.5,smithderrick@martin.net,001-822-749-5450,19078,1989-01-20
CUST100361,2025-03-24,Fixed,Credit Card,Cancelled,Economy,305.32,nathanbrady@yahoo.com,920.388.0653x33153,09578,1960-03-02
CUST100362,2020-11-21,Rolling,Bank Transfer,Pending,Economy,597.73,rogersruben@brown.com,+1-779-599-5946x52170,36402,1943-12-06
CUST100363,2023-09-23,Rolling,Bank Transfer,Active,Economy,437.88,ddixon@yahoo.com,303.379.3375x6362,53594,1972-05-26
CUST100364,2025-07-16,Fixed,PayPal,Cancelled,Green,267.16,eric19@sharp.com,5015081247,11210,1992-03-03
CUST100365,2025-04-14,Rolling,Direct Debit,Active,Green,627.29,brandoncox@white.net,950.033.4234,39604,1956-12-07
CUST100366,2021-11-05,Fixed,Credit Card,Pending,Peak/Off-Peak,442.07,marcbutler@hotmail.com,001-258-323-0241x0261,93851,1976-05-22
CUST100367,2024-03-29,Variable,Bank Transfer,Inactive,Standard,794.95,margaret95@gmail.com,347-355-2896x11223,59669,1948-06-23
CUST100368,2021-09-01,Rolling,Credit Card,Cancelled,Standard,365.84,jeffreyblack@finley.info,865.596.3099,55514,1954-08-19
CUST100369,2020-12-09,Rolling,PayPal,Pending,Standard,321.8,mark87@gmail.com,842.530.4289,69284,1997-04-28
CUST100370,2023-03-17,Rolling,Direct Debit,Active,Green,166.16,kellymueller@hotmail.com,317.912.8685x7872,28564,1949-03-04
CUST100371,2023-09-08,Rolling,Credit Card,Cancelled,Economy,341.17,frichardson@oconnor.com,587-774-9690x33373,88272,1949-08-02
CUST100372,2020-12-03,Variable,Credit Card,Active,Peak/Off-Peak,442.0,randolphandrew@reed.com,(346)692-5481x2147,34507,1967-04-30
CUST100373,2023-08-18,Variable,Bank Transfer,Inactive,Peak/Off-Peak,805.5,usweeney@garcia-moreno.com,539.078.9567x76657,24628,1936-11-04
CUST100374,2022-05-16,Fixed,Credit Card,Cancelled,Green,238.85,jwoodward@hotmail.com,460-273-4151x48881,07545,1997-04-22
CUST100375,2022-09-16,Rolling,Direct Debit,Cancelled,Green,450.66,williamsjesse@hotmail.com,311-150-8353x544,12617,1960-01-16
CUST100376,2021-06-17,Rolling,Direct Debit,Active,Economy,424.63,stephen19@gmail.com,001-439-284-0445x6690,56669,1970-11-22
CUST100377,2023-08-05,Variable,Credit Card,Cancelled,Economy,182.37,kjones@graham.com,826.333.7389x8775,45330,1938-06-24
CUST100378,2025-05-07,Fixed,Bank Transfer,Pending,Green,948.66,melissa65@yahoo.com,536-637-7805,99221,1999-05-28
CUST100379,2024-01-16,Variable,Bank Transfer,Pending,Peak/Off-Peak,500.26,jesus32@hotmail.com,(924)075-5366,39416,2006-11-03
CUST100380,2021-11-25,Variable,PayPal,Inactive,Economy,785.21,danielcole@russell-herrera.com,+1-684-590-9022x59999,22066,1996-03-10
CUST100381,2022-08-07,Fixed,Direct Debit,Pending,Economy,192.01,steven11@gmail.com,(636)186-3715x9741,26532,1982-06-27
CUST100382,2021-12-19,Rolling,PayPal,Inactive,Peak/Off-Peak,178.57,lewismelissa@gmail.com,(182)097-0231,46281,1970-09-24
CUST100383,2022-02-03,Rolling,Bank Transfer,Active,Economy,487.88,tanyafoster@byrd.com,(433)481-7058x0256,55433,1950-09-10
CUST100384,2024-02-03,Variable,PayPal,Active,Peak/Off-Peak,601.29,jbond@pierce.com,(212)867-1632x3467,63628,1946-01-10
CUST100385,2020-10-18,Variable,Bank Transfer,Inactive,Standard,561.2,brownkimberly@anderson.com,(994)938-7430,62825,1982-10-28
CUST100386,2022-02-10,Variable,PayPal,Pending,Economy,192.96,samantha10@gonzalez.info,(716)938-5977,70690,1993-04-23
CUST100387,2023-05-31,Fixed,PayPal,Pending,Economy,180.66,steinmaria@martinez-dunlap.com,901.475.4692x632,90787,1963-06-13
CUST100388,2024-02-02,Fixed,Direct Debit,Inactive,Standard,598.8,zunderwood@johnson-vega.com,+1-676-291-6032x484,21562,1955-02-01
CUST100389,2022-09-12,Variable,Direct Debit,Inactive,Peak/Off-Peak,637.23,rebekahhill@yahoo.com,+1-137-681-5118x56724,91817,1988-08-10
CUST100390,2022-11-08,Rolling,PayPal,Active,Economy,805.99,mendezchristina@phillips.com,807.017.6563,57751,2002-12-08
CUST100391,2021-12-09,Rolling,Bank Transfer,Inactive,Standard,877.35,patrick63@wilkerson.net,(004)125-7771x1837,46991,1993-03-23
CUST100392,2021-07-03,Fixed,Bank Transfer,Pending,Peak/Off-Peak,111.11,wcasey@stephens-washington.org,(742)209-1241,91320,2003-09-19
CUST100393,2023-11-03,Fixed,Direct Debit,Inactive,Economy,472.43,bnelson@yahoo.com,+1-621-042-7523,75253,1980-01-04
